"key,""rank"""
vit_11s0052g00630,1
vit_17s0000g01930,2
vit_17s0000g00430,3
vit_19s0015g00510,4
vit_07s0031g00420,5
vit_18s0001g03120,6
vit_14s0083g01130,7
vit_02s0025g02630,8
vit_07s0031g01160,9
vit_08s0058g00800,10
vit_02s0109g00230,11
vit_06s0004g04490,12
vit_14s0219g00280,13
vit_12s0059g00230,14
vit_12s0057g00700,15
vit_03s0063g01880,16
vit_04s0043g00510,17
vit_08s0056g00800,18
vit_09s0002g03140,19
vit_12s0142g00160,20
vit_15s0046g00710,21
vit_18s0001g03240,22
vit_15s0046g00170,23
vit_13s0067g00730,24
vit_12s0028g03960,25
vit_03s0038g03570,26
vit_08s0040g01820,27
vit_00s0665g00020,28
vit_11s0016g03760,29
vit_01s0026g00080,30
vit_19s0090g00710,31
vit_18s0001g11120,32
vit_05s0077g00730,33
vit_18s0072g01000,34
vit_06s0004g02560,35
vit_05s0020g01490,36
vit_04s0008g03820,37
vit_18s0001g12830,38
vit_18s0001g01130,39
vit_18s0001g02720,40
vit_08s0007g00570,41
vit_08s0040g02610,42
vit_04s0023g01720,43
vit_14s0108g01080,44
vit_08s0056g01130,45
vit_06s0009g03390,46
vit_19s0015g01300,47
vit_16s0050g00830,48
vit_13s0067g00400,49
vit_08s0058g00910,50
vit_02s0033g00450<br>vit_02s0033g00380<br>vit_02s0033g00390<br>vit_02s0033g00410,51
vit_12s0059g02240,52
vit_06s0009g01620,53
vit_15s0046g00700,54
vit_10s0116g01870,55
vit_17s0000g05580,56
vit_11s0037g00320,57
vit_13s0067g00700,58
vit_04s0023g02150,59
vit_18s0001g05950,60
vit_19s0014g04620,61
vit_02s0025g00560,62.5
vit_15s0046g03600,62.5
vit_12s0057g01060,64
vit_09s0002g03130,65
vit_18s0001g10030,66
vit_02s0033g01050,67
vit_01s0010g02750,68
vit_09s0002g03000,69
vit_05s0102g00370,70
vit_00s0179g00110,71
vit_05s0020g04690,72
vit_01s0182g00130,73
vit_14s0066g02410,74
vit_13s0067g02910,75
vit_03s0038g03730,76
vit_16s0100g00400,77
vit_00s0207g00010,78
vit_14s0108g00150,79
vit_18s0086g00190,80
vit_02s0025g00820,81
vit_06s0004g00590,82
vit_00s0274g00080,83
vit_12s0055g00810,84
vit_07s0031g00520,85
vit_04s0008g06370,86
vit_10s0003g00600,87
vit_12s0059g00190,88
vit_04s0023g03230,89
vit_19s0090g00840,90
vit_09s0002g03050,91
vit_13s0047g00230,92
vit_13s0019g02940,93
vit_01s0011g02330,94
vit_10s0042g00470,95
vit_19s0015g00740,96
vit_05s0020g04680,97
vit_17s0000g06360,98
vit_01s0026g02040,99
vit_10s0092g00150,100
vit_07s0104g00800,101
vit_14s0066g00400,102
vit_06s0004g05800,103
vit_11s0016g04270,104
vit_06s0004g06700,105
vit_10s0003g00780,106
vit_09s0054g01370,107
vit_09s0054g01220,108
vit_05s0094g00350,109
vit_16s0100g00670,110
vit_18s0001g06690,111
vit_19s0177g00270,112
vit_08s0007g00710,113
vit_02s0025g02620,114
vit_13s0067g02930,115
vit_10s0003g04950,116
vit_19s0014g01780,117
vit_15s0046g00680,118
vit_05s0029g00480,119
vit_02s0025g01730,120
vit_07s0005g02710,121
vit_05s0062g00760,122
vit_13s0019g04900,123
vit_11s0037g00840,124
vit_19s0177g00190,125
