from,to
VIT_07s0005g03340,VIT_07s0005g03340
VIT_05s0049g01020,VIT_05s0049g01020
VIT_16s0100g01010<br>VIT_16s0100g00950<br>VIT_16s0100g01030<br>VIT_16s0100g00990,VIT_16s0100g01010<br>VIT_16s0100g00950<br>VIT_16s0100g01030<br>VIT_16s0100g00990
VIT_16s0100g01130,VIT_16s0100g01130
VIT_16s0100g01160,VIT_16s0100g01160
VIT_16s0100g01200<br>VIT_16s0100g01070,VIT_16s0100g01200<br>VIT_16s0100g01070
VIT_01s0010g02020,VIT_01s0010g02020
VIT_04s0023g02570,VIT_04s0023g02570
VIT_06s0004g07740,VIT_06s0004g07740
VIT_06s0004g07750,VIT_06s0004g07750
VIT_06s0004g07770,VIT_06s0004g07770
VIT_12s0055g01000,VIT_12s0055g01000
VIT_12s0055g01020,VIT_12s0055g01020
