key,rank
vit_18s0001g10150,1
vit_11s0016g03170,2
vit_15s0046g01440,3
vit_06s0004g05650,4
vit_04s0023g01360,5.5
vit_16s0050g01960,5.5
vit_06s0080g00790,7
vit_12s0057g00260,8
vit_06s0004g05460,9
vit_04s0044g00130,10
vit_08s0007g08250,11
vit_09s0002g06770,12
vit_10s0092g00710,13
vit_12s0142g00690,14
vit_14s0060g02210,15
vit_10s0003g01600,16
vit_07s0104g00930,17
vit_06s0004g01890,18
vit_02s0012g01400,19
vit_13s0064g00570,20.5
vit_17s0000g04050,20.5
vit_07s0191g00080,22
vit_17s0000g04470,23
vit_13s0067g02880,24
vit_07s0005g00410,25
vit_16s0050g01850,26
vit_03s0063g01870,27
vit_19s0177g00300,28
vit_10s0003g01240,29
vit_00s0360g00020,30
vit_18s0072g00940,31
vit_13s0156g00100,32
vit_13s0019g00330,33
vit_07s0104g00030,34
vit_00s0153g00040,35
vit_00s0541g00020,36
vit_13s0019g04900,37
vit_17s0000g01800,38
vit_05s0077g00430,39
vit_19s0093g00550,40
vit_18s0001g01030,41
vit_05s0062g00720,42
vit_03s0063g00310,43
vit_18s0122g01370,44
vit_16s0050g01940,45
vit_07s0031g02710,46
vit_08s0007g01670,47
vit_18s0001g12450,48
vit_16s0100g00220,49
vit_18s0001g08490,50
vit_00s0710g00010,51
vit_08s0056g00070,52
vit_01s0011g00410,53
vit_05s0077g00280,54
vit_04s0008g00030,55
vit_08s0007g03640,56
vit_07s0005g03610,57
vit_07s0129g00510,58
vit_03s0017g00250,59
vit_09s0002g01850,60
vit_19s0014g03130,61
vit_12s0142g00050,62
vit_05s0102g00860,63
vit_00s0540g00040<br>vit_11s0149g00300,64
vit_19s0014g05090,65
vit_08s0040g00670,66
vit_02s0025g02590,67
vit_07s0005g00340,68
vit_16s0098g01630,69
vit_18s0041g01830,70
vit_03s0063g02470,71
vit_01s0010g03460,72
vit_15s0045g00380,73
vit_14s0036g01450,74
vit_01s0011g00120,75
vit_00s0323g00060,76
vit_07s0005g01950,77
vit_18s0001g03430,78
vit_05s0077g01020,79
vit_03s0017g00180,80
vit_18s0001g06490,81
vit_03s0038g04330,82
vit_08s0007g01360,83
vit_12s0028g01030,84
vit_06s0004g03140,85
vit_11s0149g00060,86
vit_07s0151g00800,87
vit_16s0050g01610,88
vit_14s0066g01130,89
vit_10s0003g00390,90
vit_04s0008g04950,91
vit_19s0015g01730,92
vit_02s0012g00590,93
vit_17s0000g00490,94
vit_19s0014g02610,95
