key,rank
vit_04s0079g00690,1
vit_02s0033g00460<br>vit_02s0033g00400<br>vit_02s0033g00430,2
vit_02s0033g00440,3
vit_04s0023g02150,4
vit_10s0003g04950,5
vit_17s0000g05580,6
vit_01s0010g03490,7
vit_17s0000g02650,8
vit_16s0050g00910,9
vit_14s0068g02190,10
vit_04s0008g06000,11
vit_09s0002g06590,12
vit_19s0015g01300,13
vit_01s0010g03510,14
vit_03s0017g00870,15
vit_19s0015g00760,16
vit_08s0056g01240,17
vit_08s0040g03070,18
vit_19s0177g00230,19
vit_02s0025g02390,20
vit_12s0059g00490,21
vit_08s0040g01170,22
vit_17s0000g08140,23
vit_02s0033g00370,24
vit_14s0081g00020,25
vit_02s0025g03730,26
vit_05s0102g00370,27.5
vit_09s0002g04580,27.5
vit_17s0000g01930,29
vit_05s0094g00350,30
vit_19s0090g00310,31
vit_12s0059g01960,32
vit_08s0058g00530,33
vit_11s0016g04920,34
vit_14s0060g00710,35
vit_14s0108g01080,36
vit_13s0019g03510,37
vit_00s0324g00050,38
vit_04s0008g00870,39.5
vit_04s0023g01800,39.5
vit_11s0016g03760,41
vit_00s0271g00110,42
vit_14s0006g01840,43
vit_14s0060g01980,44
vit_08s0040g00900,45
vit_08s0007g03560,46
vit_07s0031g01520,47
vit_17s0000g00410,48
vit_07s0005g05010,49
vit_13s0019g00900,50
vit_00s0274g00080,51
vit_14s0006g01030,52
vit_14s0081g00030,53
vit_11s0016g01750,54
vit_01s0010g03470,55
vit_06s0004g02560,56.5
vit_03s0038g02400,56.5
vit_04s0023g00930,58
vit_06s0080g00320,59
vit_13s0064g00370,60
vit_08s0007g01290,61
vit_04s0023g03230,62
vit_08s0007g08010,63
vit_12s0028g00450,64
vit_18s0001g01120,65
vit_06s0004g08160,66
vit_18s0001g03060,67
vit_15s0046g01790,68
vit_16s0100g00710,69
vit_03s0038g03810,70
vit_18s0001g07620,71
vit_12s0057g01030,72
vit_06s0009g03010,73
vit_17s0000g00430,74
vit_03s0180g00320,75
vit_17s0000g02590,76
vit_12s0142g00070,77
vit_17s0000g03110,78
vit_16s0100g00400,79
vit_05s0102g01210,80
vit_07s0031g00420,81
vit_18s0089g00200,82
vit_01s0011g02800,83
vit_07s0005g03580,84
vit_14s0068g01710,85
vit_14s0066g00890,86
vit_05s0029g00140,87
vit_06s0004g07560,88
vit_01s0011g02960,89
vit_10s0003g01020,90
vit_17s0000g01950,91
vit_08s0056g00610,92
vit_08s0040g00670,93
vit_15s0021g01350,94
vit_14s0066g01350,95
vit_06s0004g07670,96
vit_12s0057g00700,97
vit_05s0020g02170,98
vit_06s0004g06520,99.5
vit_02s0033g00240,99.5
vit_03s0038g03570,101
vit_11s0016g03660,102
vit_04s0044g01770,103
vit_14s0128g00210,104
vit_04s0069g00790,105
vit_10s0003g01960,106
vit_01s0127g00010,107
vit_06s0004g04430,108.5
vit_02s0025g04550,108.5
vit_04s0008g03630,110
vit_00s0316g00020,111
vit_02s0025g00550,112
vit_03s0038g01930,113
vit_02s0025g03740,114
vit_11s0016g05110,115
vit_00s0394g00010,116
vit_16s0050g01900,117
vit_15s0021g02700,118
vit_08s0040g02610,119
vit_12s0057g00560,120
vit_03s0038g02620,121
vit_07s0031g02100,122
vit_17s0000g00400,123
vit_17s0000g08390,124
vit_16s0039g00720,125
